Jodła hiszpańska
Jodła kalifornijska (jednobarwna)
Jodła kaukaska
Jodła koreańska
Jodła mandżurska
Jodła olbrzymia
Jodła pospolita
Jodła szlachetna
Jodła wonna
Jodła wspaniała
Judaszowiec chiński
Judaszowiec kanadyjski
Judaszowiec południowy
Jukka ogrodowa
Kalikarpa (Pięknotka) Bodinera
Kalina
Kalina burkwooda
Kalina koralowa
Kalina koreańska
Kalina sztywnolistna
Kalmia drobnolistna
Kalmia wielkolistna
Kamelia
Kamelia japońska
Kaningamia chińska
Kapturnica białolistna
Kapturnica purpurowa
Kapturnica żółta
Karagana syberyjska
Kard (Karczoch hiszpański)
Karmnik ościsty
Kasjopeja
Kasztan jadalny
Kasztanowiec czerwony
Kasztanowiec drobnokwiatowy
Kasztanowiec indyjski
Kasztanowiec zwyczajny
Kasztanowiec żółty
Ketmia bagienna
Ketmia piżmowa
Ketmia syryjska
Kielichowiec
Kielichowiec wonny
Kirengeszoma dłoniasta
Kiścień wawrzynkowy
Kitajbelia winoroślowata
Kleoma ciernista
Klon Davida
Klon francuski
Klon Ginnala (mandżurski)
Klon grabolistny
Klon Grossera
Klon Grossera odm. Hersii
Klon hondoański (cienkoszypułkowy)
Klon japoński
Klon jawor
Klon jesionolistny
Klon jesionolistny odm. odeska
Klon jesionolistny odm. złotobrzega
Klon jesionolistny odm. złotopstra
Klon kapadocki (kaukaski, kolchidzki)
Klon okazały
Klon okrągłolistny
Klon palmowy
Klon pensylwański
Klon polny
Klon pospolity
Klon pośredni
Klon Shirasawy
Klon tatarski
Klon winolistny
Klon włoski
Kłokoczka południowa
Kłosowiec fenkułowy
Knieć błotna
Kocanka
Kocanka tienszańska
Kocimiętka
Kocimiętka Faassena
Kocimiętka wielkokwiatowa
Kokornak powojnikowy
Kokorycz
Kokorycz białożółta
Kokorycz paprociowa
Kokorycz pełna
Kokorycz pogięta
Kokorycz pusta
kokorycz szlachetna (syberyjska)
Kokorycz wzniesiona
Kokorycz złocista
Kokoryczka
Kokoryczka wielokwiatowa
Kokoryczka wonna
Kolcosił Siebolda
Kolkwicja chińska
Kołotocznik wierzbolistny
Komptonia amerykańska
Koniczyna biała
Konwalia majowa
Konwalijka dwulistna
Konwalnik
Kopytnik
Kosaciec
Kosaciec angielski
Kosaciec bezlistny
Kosaciec blady
Kosaciec bródkowy niski
Kosaciec bródkowy pośredni
Kosaciec bródkowy wyniosły
Kosaciec cuchnący
Kosaciec Danforda
Kosaciec fałszywy
Kosaciec florentyński
Kosaciec gładki
Kosaciec japoński
Kosaciec mieczolistny
Kosaciec niemiecki
Kosaciec niski
Kosaciec prążkowany
Kosaciec pstry
Kosaciec robusta
Kosaciec różnobarwny
Kosaciec syberyjski
Kosaciec trawolistny
Kosaciec wodny
Kosaciec wschodni
Kosaciec żółty
Kosaciec żyłkowany
Kosmatka olbrzymia
Kosmatka orzęsiona
Kosmatka śnieżna
Kosmos
Kosmos pierzasty
Kostrzewa
Kostrzewa alpejska
Kostrzewa ametystowa
Kostrzewa miotlasta (niedźwiedzie fuPic Carlit
Kostrzewa miotlasta (niedźwiedzie futro)
Kostrzewa owcza
Kostrzewa popielata
Kostrzewa zielona
Kostrzewa żyworodna
Kotula
Kozłówka
Kozłówka długoszyjkowa
Krokozmia George Davidson
Krokozmia Lucifer
Krokus
Krokus okazały
Krokus Siebera
Krokus siewny
Krokus Tommasiniego
Krokus złoty (krokus)
Kroplik złoty
Kruszczyk
Kruszczyk błotny
Kruszyna pospolita
Krwawnica pospolita
Krwawnica rozgowata
Krwawnik
Krwawnik kichawiec
Krwawnik klaweński
Krwawnik pospolity
Krwawnik serbski
Krwawnik szlachetny
Krwawnik wiązówkowaty
Krwawnik złoty
Krwawnik żeniszkolistny
Krwica kanadyjska
Krwiściąg
Krwiściąg lekarski
Krwiścieg
Krzewuszka
Krzyżownica
Kuklik
Kuklik szkarłatny
Kuklik zwisły
Kukułka
Kukułka plamista
Kukułka purpurowa
Kulnik
Kulnik kropkowany
Kulnik sercolistny
Kurzyslad, Anagalis
Lak pospolity
Laurowiśnia wschodnia
Lawenda
Lawenda francuska
Lawenda wąskolistna
Lebiodka
Lebiodka pospolita
